Athlete,Week,Day of the Week,Category,Exercise,Reps,Sets,Set,Set_Reps,Set_Weight,Variant,Notes,Unnamed: 0,Athlete comments
Daniele Conca,2024_47,2,Snatch pull,Tirate strappo,4.0,3.0,8,,,con stop sotto ginocchio,aggiungi 5-10kg da settimana scorsa,,
Daniele Conca,2024_47,2,Squat,Gambe dietro,5.0,3.0,8,,,,Fatte nel day 1,,
Daniele Conca,2024_47,3,Jerk,Spinte in spaccata,1.0,5.0,8,,,,,,
Daniele Conca,2024_47,3,Accessory,Caricamenti,4.0,4.0,8,,,,135-140kg,,
Daniele Conca,2024_47,3,Accessory,Push press,5.0,3.0,8,,,,,,
Daniele Conca,2024_47,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,8,,,,,,
Daniele Conca,2024_48,1,Jerk,Spinte in piedi,2.0,5.0,1,2.0,85.0,stop nel caricamento,,,
Daniele Conca,2024_48,1,Accessory,Caricamenti,3.0,4.0,1,4.0,115.0,con stop sotto nel caricamento,"incrementa 5-10kg, ho fatto 4x4 porco culo",,
Daniele Conca,2024_48,1,Squat,Gambe avanti,4.0,3.0,1,4.0,120.0,,,,
Daniele Conca,2024_48,2,Snatch,Strappo no piedi,2.0,5.0,1,2.0,75.0,,,,
Daniele Conca,2024_48,2,Snatch pull,Tirate strappo,3.0,4.0,1,3.0,90.0,stop sopra ginocchio,,,
Daniele Conca,2024_48,2,Squat,Gambe dietro,4.0,3.0,1,4.0,130.0,,,,
Daniele Conca,2024_48,3,Clean and Jerk,Slancio,1.0,7.0,1,1.0,100.0,,,,
Daniele Conca,2024_48,3,Accessory,Caricamenti,3.0,4.0,1,3.0,130.0,,incrementa 5-10kg,,
Daniele Conca,2024_48,3,Accessory,Push press,4.0,4.0,1,4.0,70.0,,,,
Daniele Conca,2024_48,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,1,,,,,,
Daniele Conca,2024_48,1,Jerk,Spinte in piedi,2.0,5.0,2,2.0,85.0,stop nel caricamento,,,
Daniele Conca,2024_48,1,Accessory,Caricamenti,3.0,4.0,2,4.0,115.0,con stop sotto nel caricamento,"incrementa 5-10kg, ho fatto 4x4 porco culo",,
Daniele Conca,2024_48,1,Squat,Gambe avanti,4.0,3.0,2,4.0,125.0,,,,
Daniele Conca,2024_48,2,Snatch,Strappo no piedi,2.0,5.0,2,1.0,80.0,,,,
Daniele Conca,2024_48,2,Snatch pull,Tirate strappo,3.0,4.0,2,3.0,90.0,stop sopra ginocchio,,,
Daniele Conca,2024_48,2,Squat,Gambe dietro,4.0,3.0,2,4.0,130.0,,,,
Daniele Conca,2024_48,3,Clean and Jerk,Slancio,1.0,7.0,2,1.0,105.0,,,,
Daniele Conca,2024_48,3,Accessory,Caricamenti,3.0,4.0,2,3.0,130.0,,incrementa 5-10kg,,
Daniele Conca,2024_48,3,Accessory,Push press,4.0,4.0,2,4.0,75.0,,,,
Daniele Conca,2024_48,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,2,,,,,,
Daniele Conca,2024_48,1,Jerk,Spinte in piedi,2.0,5.0,3,2.0,90.0,stop nel caricamento,,,
Daniele Conca,2024_48,1,Accessory,Caricamenti,3.0,4.0,3,4.0,115.0,con stop sotto nel caricamento,"incrementa 5-10kg, ho fatto 4x4 porco culo",,
Daniele Conca,2024_48,1,Squat,Gambe avanti,4.0,3.0,3,4.0,130.0,,,,
Daniele Conca,2024_48,2,Snatch,Strappo no piedi,2.0,5.0,3,1.0,80.0,,,,
Daniele Conca,2024_48,2,Snatch pull,Tirate strappo,3.0,4.0,3,3.0,90.0,stop sopra ginocchio,,,
Daniele Conca,2024_48,2,Squat,Gambe dietro,4.0,3.0,3,4.0,130.0,,,,
Daniele Conca,2024_48,3,Clean and Jerk,Slancio,1.0,7.0,3,1.0,110.0,,,,
Daniele Conca,2024_48,3,Accessory,Caricamenti,3.0,4.0,3,3.0,130.0,,incrementa 5-10kg,,
Daniele Conca,2024_48,3,Accessory,Push press,4.0,4.0,3,4.0,80.0,,,,
Daniele Conca,2024_48,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,3,,,,,,
Daniele Conca,2024_48,1,Jerk,Spinte in piedi,2.0,5.0,4,2.0,90.0,stop nel caricamento,,,
Daniele Conca,2024_48,1,Accessory,Caricamenti,3.0,4.0,4,4.0,115.0,con stop sotto nel caricamento,"incrementa 5-10kg, ho fatto 4x4 porco culo",,
Daniele Conca,2024_48,1,Squat,Gambe avanti,4.0,3.0,4,,,,,,
Daniele Conca,2024_48,2,Snatch,Strappo no piedi,2.0,5.0,4,2.0,80.0,,,,
Daniele Conca,2024_48,2,Snatch pull,Tirate strappo,3.0,4.0,4,3.0,90.0,stop sopra ginocchio,,,
Daniele Conca,2024_48,2,Squat,Gambe dietro,4.0,3.0,4,,,,,,
Daniele Conca,2024_48,3,Clean and Jerk,Slancio,1.0,7.0,4,1.0,115.0,,,,
Daniele Conca,2024_48,3,Accessory,Caricamenti,3.0,4.0,4,3.0,130.0,,incrementa 5-10kg,,
Daniele Conca,2024_48,3,Accessory,Push press,4.0,4.0,4,4.0,80.0,,,,
Daniele Conca,2024_48,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,4,,,,,,
Daniele Conca,2024_48,1,Jerk,Spinte in piedi,2.0,5.0,5,2.0,90.0,stop nel caricamento,,,
Daniele Conca,2024_48,1,Accessory,Caricamenti,3.0,4.0,5,,,con stop sotto nel caricamento,"incrementa 5-10kg, ho fatto 4x4 porco culo",,
Daniele Conca,2024_48,1,Squat,Gambe avanti,4.0,3.0,5,,,,,,
Daniele Conca,2024_48,2,Snatch,Strappo no piedi,2.0,5.0,5,2.0,85.0,,,,
Daniele Conca,2024_48,2,Snatch pull,Tirate strappo,3.0,4.0,5,,,stop sopra ginocchio,,,
Daniele Conca,2024_48,2,Squat,Gambe dietro,4.0,3.0,5,,,,,,
Daniele Conca,2024_48,3,Clean and Jerk,Slancio,1.0,7.0,5,0.0,118.0,,,,
Daniele Conca,2024_48,3,Accessory,Caricamenti,3.0,4.0,5,,,,incrementa 5-10kg,,
Daniele Conca,2024_48,3,Accessory,Push press,4.0,4.0,5,,,,,,
Daniele Conca,2024_48,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,5,,,,,,
Daniele Conca,2024_48,1,Jerk,Spinte in piedi,2.0,5.0,6,,,stop nel caricamento,,,
Daniele Conca,2024_48,1,Accessory,Caricamenti,3.0,4.0,6,,,con stop sotto nel caricamento,"incrementa 5-10kg, ho fatto 4x4 porco culo",,
Daniele Conca,2024_48,1,Squat,Gambe avanti,4.0,3.0,6,,,,,,
Daniele Conca,2024_48,2,Snatch,Strappo no piedi,2.0,5.0,6,,,,,,
Daniele Conca,2024_48,2,Snatch pull,Tirate strappo,3.0,4.0,6,,,stop sopra ginocchio,,,
Daniele Conca,2024_48,2,Squat,Gambe dietro,4.0,3.0,6,,,,,,
Daniele Conca,2024_48,3,Clean and Jerk,Slancio,1.0,7.0,6,1.0,118.0,,,,
Daniele Conca,2024_48,3,Accessory,Caricamenti,3.0,4.0,6,,,,incrementa 5-10kg,,
Daniele Conca,2024_48,3,Accessory,Push press,4.0,4.0,6,,,,,,
Daniele Conca,2024_48,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,6,,,,,,
Daniele Conca,2024_48,1,Jerk,Spinte in piedi,2.0,5.0,7,,,stop nel caricamento,,,
Daniele Conca,2024_48,1,Accessory,Caricamenti,3.0,4.0,7,,,con stop sotto nel caricamento,"incrementa 5-10kg, ho fatto 4x4 porco culo",,
Daniele Conca,2024_48,1,Squat,Gambe avanti,4.0,3.0,7,,,,,,
Daniele Conca,2024_48,2,Snatch,Strappo no piedi,2.0,5.0,7,,,,,,
Daniele Conca,2024_48,2,Snatch pull,Tirate strappo,3.0,4.0,7,,,stop sopra ginocchio,,,
Daniele Conca,2024_48,2,Squat,Gambe dietro,4.0,3.0,7,,,,,,
Daniele Conca,2024_48,3,Clean and Jerk,Slancio,1.0,7.0,7,0.0,118.0,,,,
Daniele Conca,2024_48,3,Accessory,Caricamenti,3.0,4.0,7,,,,incrementa 5-10kg,,
Daniele Conca,2024_48,3,Accessory,Push press,4.0,4.0,7,,,,,,
Daniele Conca,2024_48,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,7,,,,,,
Daniele Conca,2024_48,1,Jerk,Spinte in piedi,2.0,5.0,8,,,stop nel caricamento,,,
Daniele Conca,2024_48,1,Accessory,Caricamenti,3.0,4.0,8,,,con stop sotto nel caricamento,"incrementa 5-10kg, ho fatto 4x4 porco culo",,
Daniele Conca,2024_48,1,Squat,Gambe avanti,4.0,3.0,8,,,,,,
Daniele Conca,2024_48,2,Snatch,Strappo no piedi,2.0,5.0,8,,,,,,
Daniele Conca,2024_48,2,Snatch pull,Tirate strappo,3.0,4.0,8,,,stop sopra ginocchio,,,
Daniele Conca,2024_48,2,Squat,Gambe dietro,4.0,3.0,8,,,,,,
Daniele Conca,2024_48,3,Clean and Jerk,Slancio,1.0,7.0,8,,,,,,
Daniele Conca,2024_48,3,Accessory,Caricamenti,3.0,4.0,8,,,,incrementa 5-10kg,,
Daniele Conca,2024_48,3,Accessory,Push press,4.0,4.0,8,,,,,,
Daniele Conca,2024_48,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,8,,,,,,
Daniele Conca,2024_49,1,Snatch,Strappo no piedi,1.0,7.0,1,1.0,70.0,stop sopra il ginocchio,,,
Daniele Conca,2024_49,1,Snatch pull,Tirate strappo,3.0,4.0,1,3.0,100.0,,105-110 se la schiena regge,,
Daniele Conca,2024_49,1,Squat,Gambe dietro,3.0,4.0,1,3.0,130.0,,,,
Daniele Conca,2024_49,2,Jerk,Spinta in spaccata con stop nel caricamento + spinta in spaccata,2.0,6.0,1,2.0,100.0,,,,
Daniele Conca,2024_49,2,Accessory,Push press,3.0,4.0,1,3.0,80.0,,,,
Daniele Conca,2024_49,3,Snatch,Strappo,1.0,7.0,1,,70.0,,,,
Daniele Conca,2024_49,3,Accessory,Caricamenti spinte,2.0,5.0,1,,135.0,,incrementa 5-10kg,,
Daniele Conca,2024_49,3,Squat,Gambe dietro,3.0,4.0,1,,140.0,,,,
Daniele Conca,2024_49,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,1,,,,,,
Daniele Conca,2024_49,1,Snatch,Strappo no piedi,1.0,7.0,2,1.0,75.0,stop sopra il ginocchio,,,
Daniele Conca,2024_49,1,Snatch pull,Tirate strappo,3.0,4.0,2,3.0,105.0,,105-110 se la schiena regge,,
Daniele Conca,2024_49,1,Squat,Gambe dietro,3.0,4.0,2,3.0,135.0,,,,
Daniele Conca,2024_49,2,Jerk,Spinta in spaccata con stop nel caricamento + spinta in spaccata,2.0,6.0,2,2.0,100.0,,,,
Daniele Conca,2024_49,2,Accessory,Push press,3.0,4.0,2,3.0,80.0,,,,
Daniele Conca,2024_49,3,Snatch,Strappo,1.0,7.0,2,,80.0,,,,
Daniele Conca,2024_49,3,Accessory,Caricamenti spinte,2.0,5.0,2,,140.0,,incrementa 5-10kg,,
Daniele Conca,2024_49,3,Squat,Gambe dietro,3.0,4.0,2,,140.0,,,,
Daniele Conca,2024_49,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,2,,,,,,
Daniele Conca,2024_49,1,Snatch,Strappo no piedi,1.0,7.0,3,1.0,80.0,stop sopra il ginocchio,,,
Daniele Conca,2024_49,1,Snatch pull,Tirate strappo,3.0,4.0,3,3.0,105.0,,105-110 se la schiena regge,,
Daniele Conca,2024_49,1,Squat,Gambe dietro,3.0,4.0,3,3.0,135.0,,,,
Daniele Conca,2024_49,2,Jerk,Spinta in spaccata con stop nel caricamento + spinta in spaccata,2.0,6.0,3,2.0,100.0,,,,
Daniele Conca,2024_49,2,Accessory,Push press,3.0,4.0,3,3.0,80.0,,,,
Daniele Conca,2024_49,3,Snatch,Strappo,1.0,7.0,3,,80.0,,,,
Daniele Conca,2024_49,3,Accessory,Caricamenti spinte,2.0,5.0,3,,140.0,,incrementa 5-10kg,,
Daniele Conca,2024_49,3,Squat,Gambe dietro,3.0,4.0,3,,140.0,,,,
Daniele Conca,2024_49,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,3,,,,,,
Daniele Conca,2024_49,1,Snatch,Strappo no piedi,1.0,7.0,4,1.0,80.0,stop sopra il ginocchio,,,
Daniele Conca,2024_49,1,Snatch pull,Tirate strappo,3.0,4.0,4,3.0,105.0,,105-110 se la schiena regge,,
Daniele Conca,2024_49,1,Squat,Gambe dietro,3.0,4.0,4,3.0,135.0,,,,
Daniele Conca,2024_49,2,Jerk,Spinta in spaccata con stop nel caricamento + spinta in spaccata,2.0,6.0,4,2.0,100.0,,,,
Daniele Conca,2024_49,2,Accessory,Push press,3.0,4.0,4,,,,,,
Daniele Conca,2024_49,3,Snatch,Strappo,1.0,7.0,4,,85.0,,,,
Daniele Conca,2024_49,3,Accessory,Caricamenti spinte,2.0,5.0,4,,140.0,,incrementa 5-10kg,,
Daniele Conca,2024_49,3,Squat,Gambe dietro,3.0,4.0,4,,140.0,,,,
Daniele Conca,2024_49,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,4,,,,,,
Daniele Conca,2024_49,1,Snatch,Strappo no piedi,1.0,7.0,5,1.0,80.0,stop sopra il ginocchio,,,
Daniele Conca,2024_49,1,Snatch pull,Tirate strappo,3.0,4.0,5,,,,105-110 se la schiena regge,,
Daniele Conca,2024_49,1,Squat,Gambe dietro,3.0,4.0,5,,,,,,
Daniele Conca,2024_49,2,Jerk,Spinta in spaccata con stop nel caricamento + spinta in spaccata,2.0,6.0,5,2.0,100.0,,,,
Daniele Conca,2024_49,2,Accessory,Push press,3.0,4.0,5,,,,,,
Daniele Conca,2024_49,3,Snatch,Strappo,1.0,7.0,5,,90.0,,,,
Daniele Conca,2024_49,3,Accessory,Caricamenti spinte,2.0,5.0,5,,,,incrementa 5-10kg,,
Daniele Conca,2024_49,3,Squat,Gambe dietro,3.0,4.0,5,,,,,,
Daniele Conca,2024_49,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,5,,,,,,
Daniele Conca,2024_49,1,Snatch,Strappo no piedi,1.0,7.0,6,1.0,85.0,stop sopra il ginocchio,,,
Daniele Conca,2024_49,1,Snatch pull,Tirate strappo,3.0,4.0,6,,,,105-110 se la schiena regge,,
Daniele Conca,2024_49,1,Squat,Gambe dietro,3.0,4.0,6,,,,,,
Daniele Conca,2024_49,2,Jerk,Spinta in spaccata con stop nel caricamento + spinta in spaccata,2.0,6.0,6,2.0,100.0,,,,
Daniele Conca,2024_49,2,Accessory,Push press,3.0,4.0,6,,,,,,
Daniele Conca,2024_49,3,Snatch,Strappo,1.0,7.0,6,,93.0,,,,
Daniele Conca,2024_49,3,Accessory,Caricamenti spinte,2.0,5.0,6,,,,incrementa 5-10kg,,
Daniele Conca,2024_49,3,Squat,Gambe dietro,3.0,4.0,6,,,,,,
Daniele Conca,2024_49,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,6,,,,,,
Daniele Conca,2024_49,1,Snatch,Strappo no piedi,1.0,7.0,7,,,stop sopra il ginocchio,,,
Daniele Conca,2024_49,1,Snatch pull,Tirate strappo,3.0,4.0,7,,,,105-110 se la schiena regge,,
Daniele Conca,2024_49,1,Squat,Gambe dietro,3.0,4.0,7,,,,,,
Daniele Conca,2024_49,2,Jerk,Spinta in spaccata con stop nel caricamento + spinta in spaccata,2.0,6.0,7,,,,,,
Daniele Conca,2024_49,2,Accessory,Push press,3.0,4.0,7,,,,,,
Daniele Conca,2024_49,3,Snatch,Strappo,1.0,7.0,7,,,,,,
Daniele Conca,2024_49,3,Accessory,Caricamenti spinte,2.0,5.0,7,,,,incrementa 5-10kg,,
Daniele Conca,2024_49,3,Squat,Gambe dietro,3.0,4.0,7,,,,,,
Daniele Conca,2024_49,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,7,,,,,,
Daniele Conca,2024_49,1,Snatch,Strappo no piedi,1.0,7.0,8,,,stop sopra il ginocchio,,,
Daniele Conca,2024_49,1,Snatch pull,Tirate strappo,3.0,4.0,8,,,,105-110 se la schiena regge,,
Daniele Conca,2024_49,1,Squat,Gambe dietro,3.0,4.0,8,,,,,,
Daniele Conca,2024_49,2,Jerk,Spinta in spaccata con stop nel caricamento + spinta in spaccata,2.0,6.0,8,,,,,,
Daniele Conca,2024_49,2,Accessory,Push press,3.0,4.0,8,,,,,,
Daniele Conca,2024_49,3,Snatch,Strappo,1.0,7.0,8,,,,,,
Daniele Conca,2024_49,3,Accessory,Caricamenti spinte,2.0,5.0,8,,,,incrementa 5-10kg,,
Daniele Conca,2024_49,3,Squat,Gambe dietro,3.0,4.0,8,,,,,,
Daniele Conca,2024_49,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,8,,,,,,
Daniele Conca,2024_50,1,Clean,Girata + girata sosp b,2.0,4.0,1,2.0,100.0,,,,
Daniele Conca,2024_50,1,Clean pull,Tirate slancio,2.0,4.0,1,2.0,130.0,,,,
Daniele Conca,2024_50,1,Squat,Gambe avanti,2.0,5.0,1,2.0,120.0,,,,
Daniele Conca,2024_50,2,Snatch,Strappo sosp b,2.0,5.0,1,2.0,80.0,,,,
Daniele Conca,2024_50,2,Snatch,Spinte strappo no piedi,3.0,4.0,1,3.0,50.0,"3"" pause sotto","Piedi immobili e simmetrici, non lavorare pesante e cerca di ""capire"" dove senti fatica per non ruotare",,
Daniele Conca,2024_50,2,Accessory,Stacchi rumeni presa strappo,4.0,4.0,1,,,,,,
Daniele Conca,2024_50,3,Jerk,Spinte in spaccata dai blocchi,2.0,5.0,1,,,,,,
Daniele Conca,2024_50,3,Accessory,Push press,3.0,4.0,1,,,,,,
Daniele Conca,2024_50,3,Squat,Gambe dietro,2.0,5.0,1,2.0,130.0,,,,
Daniele Conca,2024_50,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,1,,,,,,
Daniele Conca,2024_50,1,Clean,Girata + girata sosp b,2.0,4.0,2,2.0,105.0,,,,
Daniele Conca,2024_50,1,Clean pull,Tirate slancio,2.0,4.0,2,2.0,130.0,,,,
Daniele Conca,2024_50,1,Squat,Gambe avanti,2.0,5.0,2,2.0,125.0,,,,
Daniele Conca,2024_50,2,Snatch,Strappo sosp b,2.0,5.0,2,2.0,80.0,,,,
Daniele Conca,2024_50,2,Snatch,Spinte strappo no piedi,3.0,4.0,2,3.0,50.0,"3"" pause sotto","Piedi immobili e simmetrici, non lavorare pesante e cerca di ""capire"" dove senti fatica per non ruotare",,
Daniele Conca,2024_50,2,Accessory,Stacchi rumeni presa strappo,4.0,4.0,2,,,,,,
Daniele Conca,2024_50,3,Jerk,Spinte in spaccata dai blocchi,2.0,5.0,2,,,,,,
Daniele Conca,2024_50,3,Accessory,Push press,3.0,4.0,2,,,,,,
Daniele Conca,2024_50,3,Squat,Gambe dietro,2.0,5.0,2,2.0,140.0,,,,
Daniele Conca,2024_50,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,2,,,,,,
Daniele Conca,2024_50,1,Clean,Girata + girata sosp b,2.0,4.0,3,2.0,105.0,,,,
Daniele Conca,2024_50,1,Clean pull,Tirate slancio,2.0,4.0,3,2.0,130.0,,,,
Daniele Conca,2024_50,1,Squat,Gambe avanti,2.0,5.0,3,2.0,130.0,,,,
Daniele Conca,2024_50,2,Snatch,Strappo sosp b,2.0,5.0,3,2.0,80.0,,,,
Daniele Conca,2024_50,2,Snatch,Spinte strappo no piedi,3.0,4.0,3,3.0,55.0,"3"" pause sotto","Piedi immobili e simmetrici, non lavorare pesante e cerca di ""capire"" dove senti fatica per non ruotare",,
Daniele Conca,2024_50,2,Accessory,Stacchi rumeni presa strappo,4.0,4.0,3,,,,,,
Daniele Conca,2024_50,3,Jerk,Spinte in spaccata dai blocchi,2.0,5.0,3,,,,,,
Daniele Conca,2024_50,3,Accessory,Push press,3.0,4.0,3,,,,,,
Daniele Conca,2024_50,3,Squat,Gambe dietro,2.0,5.0,3,2.0,140.0,,,,
Daniele Conca,2024_50,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,3,,,,,,
Daniele Conca,2024_50,1,Clean,Girata + girata sosp b,2.0,4.0,4,2.0,110.0,,,,
Daniele Conca,2024_50,1,Clean pull,Tirate slancio,2.0,4.0,4,2.0,130.0,,,,
Daniele Conca,2024_50,1,Squat,Gambe avanti,2.0,5.0,4,2.0,130.0,,,,
